"#Modified dataset.  Original Data Source Credit: Small Area Health Insurance Estimates Program, U.S. Census Bureau. (https://stanfordphs.redivis.com/datasets/4mz7-dh26w34ns)",,,,,,,,,,,,,,,
# Here are the descriptions of this dataset:,,,,,,,,,,,,,,,
# year - Year of Estimate,,,,,,,,,,,,,,,
# statefips - Unique FIPS code for each state,,,,,,,,,,,,,,,
# countyfips - Unique FIPS code for each county within a state,,,,,,,,,,,,,,,
"# geocat - Geography category, 40 – State geographic identifier, 50 – County geographic identifier",,,,,,,,,,,,,,,
# agecat - Age category,,,,,,,,,,,,,,,
# racecat - Race category,,,,,,,,,,,,,,,
# sexcat - Sex category,,,,,,,,,,,,,,,
# iprcat - Income category,,,,,,,,,,,,,,,
# NIPR - Number in demographic group for income category,,,,,,,,,,,,,,,
# NUI - Number uninsured,,,,,,,,,,,,,,,
# NIC - Number insured,,,,,,,,,,,,,,,
# PCTUI - Percent uninsured in demographic group for income category,,,,,,,,,,,,,,,
# PCTIC - Percent insured in demographic group for income category,,,,,,,,,,,,,,,
# PCTELIG - Percent uninsured in demographic group for all income levels,,,,,,,,,,,,,,,
# PCTLIIC - Percent insured in demographic group for all income levels,,,,,,,,,,,,,,,
# state_name - State name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,state_name
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Male,At or below 200% of poverty,144560,23056,121504,15.9,84.1,6.5,34.2,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Male,At or below 250% of poverty,179537,28117,151420,15.7,84.3,7.9,42.6,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Male,At or below 138% of poverty,101177,16179,84998,16,84,4.6,23.9,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Male,At or below 400% of poverty,260115,36647,223468,14.1,85.9,10.3,62.9,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Male,Between 138% - 400% of poverty,158938,20468,138470,12.9,87.1,5.8,39,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Female,At or below 200% of poverty,198784,18547,180237,9.3,90.7,4.4,43,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Female,At or below 250% of poverty,238627,22005,216622,9.2,90.8,5.3,51.7,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Female,At or below 138% of poverty,140792,12824,127968,9.1,90.9,3.1,30.6,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Female,At or below 400% of poverty,322632,27838,294794,8.6,91.4,6.6,70.4,Michigan                                                              
2020,26,0,40,18 to 64 years,"Black alone, not Hispanic",Female,Between 138% - 400% of poverty,181840,15014,166826,8.3,91.7,3.6,39.8,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Male,At or below 200% of poverty,55823,14755,41068,26.4,73.6,9.2,25.7,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Male,At or below 250% of poverty,73455,18476,54979,25.2,74.8,11.5,34.4,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Male,At or below 138% of poverty,33963,9427,24536,27.8,72.2,5.9,15.3,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Male,At or below 400% of poverty,111652,24500,87152,21.9,78.1,15.3,54.5,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Male,Between 138% - 400% of poverty,77689,15073,62616,19.4,80.6,9.4,39.1,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Female,At or below 200% of poverty,63133,13011,50122,20.6,79.4,8.4,32.4,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Female,At or below 250% of poverty,78866,15514,63352,19.7,80.3,10,40.9,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Female,At or below 138% of poverty,41500,9028,32472,21.8,78.2,5.8,21,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Female,At or below 400% of poverty,113445,19532,93913,17.2,82.8,12.6,60.7,Michigan                                                              
2020,26,0,40,18 to 64 years,Hispanic (any race),Female,Between 138% - 400% of poverty,71945,10504,61441,14.6,85.4,6.8,39.7,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 200% of poverty,223786,30109,193677,13.5,86.5,2.5,15.9,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 250% of poverty,300256,38910,261346,13,87,3.2,21.4,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 138% of poverty,140135,19064,121071,13.6,86.4,1.6,9.9,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 400% of poverty,563054,59526,503528,10.6,89.4,4.9,41.3,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Male,Between 138% - 400% of poverty,422919,40462,382457,9.6,90.4,3.3,31.4,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 200% of poverty,250588,24883,225705,9.9,90.1,2,18.1,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 250% of poverty,334690,32350,302340,9.7,90.3,2.6,24.2,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 138% of poverty,156940,15153,141787,9.7,90.3,1.2,11.4,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 400% of poverty,599818,48623,551195,8.1,91.9,3.9,44.2,Michigan                                                              
2020,26,0,40,40 to 64 years,"White alone, not Hispanic",Female,Between 138% - 400% of poverty,442878,33470,409408,7.6,92.4,2.7,32.8,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 200% of poverty,67925,7339,60586,10.8,89.2,4.3,35.3,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 250% of poverty,82937,8842,74095,10.7,89.3,5.2,43.2,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 138% of poverty,49711,5356,44355,10.8,89.2,3.1,25.8,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 400% of poverty,119176,11388,107788,9.6,90.4,6.6,62.8,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Male,Between 138% - 400% of poverty,69465,6032,63433,8.7,91.3,3.5,37,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 200% of poverty,90341,7772,82569,8.6,91.4,3.6,38.6,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 250% of poverty,109370,9187,100183,8.4,91.6,4.3,46.8,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 138% of poverty,63297,5390,57907,8.5,91.5,2.5,27,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 400% of poverty,153665,11860,141805,7.7,92.3,5.5,66.2,Michigan                                                              
2020,26,0,40,40 to 64 years,"Black alone, not Hispanic",Female,Between 138% - 400% of poverty,90368,6470,83898,7.2,92.8,3,39.2,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Male,At or below 200% of poverty,20847,5774,15073,27.7,72.3,8.8,23,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Male,At or below 250% of poverty,27323,7181,20142,26.3,73.7,10.9,30.7,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Male,At or below 138% of poverty,12734,3769,8965,29.6,70.4,5.7,13.7,Michigan                                                              
